cases;deaths;countriesAndTerritories;continentExp;Cumulative_number_for_14_days_of_COVID-19_cases_per_100000;PORC_SOBREPESO_F;PORC_SOBREPESO_M
0;0;Afghanistan;Asia;;22.2;17.1
0;0;Algeria;Africa;;64.8;56.7
0;0;Armenia;Europe;;56.9;54.6
0;0;Australia;Oceania;;61.3;73.3
0;0;Austria;Europe;;51.3;65.3
0;0;Azerbaijan;Europe;;54.4;52.4
0;0;Bahrain;Asia;;67.2;62.9
0;0;Belarus;Europe;;61.1;65.2
0;0;Belgium;Europe;;57.2;71.4
0;0;Brazil;America;;56.2;57.6
0;0;Cambodia;Asia;;23;17.4
0;0;Canada;America;;62.3;73
0;0;Japan;Other;;25.1;34
0;0;China;Asia;;31.8;35.8
0;0;Croatia;Europe;;59.1;70
0;0;Czechia;Europe;;60.3;73.3
0;0;Denmark;Europe;;51.6;67
0;0;Dominican Republic;America;;64;55.6
0;0;Ecuador;America;;58.3;51.4
0;0;Egypt;Africa;;68.1;55.6
0;0;Estonia;Europe;;58.4;62.8
0;0;Finland;Europe;;56.1;69.3
0;0;France;Europe;;56.5;70
0;0;Georgia;Europe;;57.7;56.6
0;0;Germany;Europe;;56.2;69.7
0;0;Greece;Europe;;62;72.4
0;0;Iceland;Europe;;53.3;69.6
0;0;India;Asia;;21.1;17.5
0;0;Indonesia;Asia;;31.2;25.3
0;0;Iran;Asia;;64.6;57.1
0;0;Iraq;Asia;;63.4;56.2
0;0;Ireland;Europe;;58.3;69
0;0;Israel;Asia;;59.5;71.4
0;0;Italy;Europe;;58.6;70.1
0;0;Japan;Asia;;25.1;34
0;0;Kuwait;Asia;;72.8;71.6
0;0;Lebanon;Asia;;66.9;66.8
0;0;Lithuania;Europe;;61.3;64.8
0;0;Luxembourg;Europe;;54;69.6
0;0;Malaysia;Asia;;42.1;41.3
0;0;Mexico;America;;65.7;62.3
0;0;Monaco;Europe;;0;0
0;0;Nepal;Asia;;21;18.1
0;0;Netherlands;Europe;;56.1;69.3
0;0;New Zealand;Oceania;;63.5;72.7
0;0;Nigeria;Africa;;32.6;19.7
0;0;North Macedonia;Europe;;54.6;67.4
0;0;Norway;Europe;;55.5;68
0;0;Oman;Asia;;60.8;54
0;0;Pakistan;Asia;;28.6;23.9
0;0;Philippines;Asia;;27.4;24.7
0;0;Qatar;Asia;;71.3;70.1
0;0;Romania;Europe;;55.8;67.6
0;0;Russia;Europe;;61.3;60.8
0;0;San Marino;Europe;;0;0
0;0;Singapore;Asia;;29.4;37.9
0;0;South Korea;Asia;;28.9;35.5
0;0;Spain;Europe;;61;73.6
0;0;Sri Lanka;Asia;;28.7;19.2
0;0;Sweden;Europe;;52.8;67.3
0;0;Switzerland;Europe;;49.9;66.2
0;0;Taiwan;Asia;;0;0
0;0;Thailand;Asia;;38.3;30.9
0;0;United Arab Emirates;Asia;;67.7;65.2
0;0;United Kingdom;Europe;;62.7;71.8
0;0;United States of America;America;;65.8;74.8
0;0;Vietnam;Asia;;20.5;15.9
0;0;Afghanistan;Asia;;22.2;17.1
0;0;Algeria;Africa;;64.8;56.7
0;0;Armenia;Europe;;56.9;54.6
0;0;Australia;Oceania;;61.3;73.3
0;0;Austria;Europe;;51.3;65.3
0;0;Azerbaijan;Europe;;54.4;52.4
0;0;Bahrain;Asia;;67.2;62.9
0;0;Belarus;Europe;;61.1;65.2
0;0;Belgium;Europe;;57.2;71.4
0;0;Brazil;America;;56.2;57.6
0;0;Cambodia;Asia;;23;17.4
0;0;Canada;America;;62.3;73
0;0;Japan;Other;;25.1;34
0;0;China;Asia;;31.8;35.8
0;0;Croatia;Europe;;59.1;70
0;0;Czechia;Europe;;60.3;73.3
0;0;Denmark;Europe;;51.6;67
0;0;Dominican Republic;America;;64;55.6
0;0;Ecuador;America;;58.3;51.4
0;0;Egypt;Africa;;68.1;55.6
0;0;Estonia;Europe;;58.4;62.8
0;0;Finland;Europe;;56.1;69.3
0;0;France;Europe;;56.5;70
0;0;Georgia;Europe;;57.7;56.6
0;0;Germany;Europe;;56.2;69.7
0;0;Greece;Europe;;62;72.4
0;0;Iceland;Europe;;53.3;69.6
0;0;India;Asia;;21.1;17.5
0;0;Indonesia;Asia;;31.2;25.3
0;0;Iran;Asia;;64.6;57.1
0;0;Iraq;Asia;;63.4;56.2
0;0;Ireland;Europe;;58.3;69
0;0;Israel;Asia;;59.5;71.4
0;0;Italy;Europe;;58.6;70.1
0;0;Japan;Asia;;25.1;34
0;0;Kuwait;Asia;;72.8;71.6
0;0;Lebanon;Asia;;66.9;66.8
0;0;Lithuania;Europe;;61.3;64.8
0;0;Luxembourg;Europe;;54;69.6
0;0;Malaysia;Asia;;42.1;41.3
0;0;Mexico;America;;65.7;62.3
0;0;Monaco;Europe;;0;0
0;0;Nepal;Asia;;21;18.1
0;0;Netherlands;Europe;;56.1;69.3
0;0;New Zealand;Oceania;;63.5;72.7
0;0;Nigeria;Africa;;32.6;19.7
0;0;North Macedonia;Europe;;54.6;67.4
0;0;Norway;Europe;;55.5;68
0;0;Oman;Asia;;60.8;54
0;0;Pakistan;Asia;;28.6;23.9
0;0;Philippines;Asia;;27.4;24.7
0;0;Qatar;Asia;;71.3;70.1
0;0;Romania;Europe;;55.8;67.6
0;0;Russia;Europe;;61.3;60.8
0;0;San Marino;Europe;;0;0
0;0;Singapore;Asia;;29.4;37.9
0;0;South Korea;Asia;;28.9;35.5
0;0;Spain;Europe;;61;73.6
0;0;Sri Lanka;Asia;;28.7;19.2
0;0;Sweden;Europe;;52.8;67.3
0;0;Switzerland;Europe;;49.9;66.2
0;0;Taiwan;Asia;;0;0
0;0;Thailand;Asia;;38.3;30.9
0;0;United Arab Emirates;Asia;;67.7;65.2
0;0;United Kingdom;Europe;;62.7;71.8
0;0;United States of America;America;;65.8;74.8
0;0;Vietnam;Asia;;20.5;15.9
0;0;Afghanistan;Asia;;22.2;17.1
0;0;Algeria;Africa;;64.8;56.7
0;0;Armenia;Europe;;56.9;54.6
0;0;Australia;Oceania;;61.3;73.3
0;0;Austria;Europe;;51.3;65.3
0;0;Azerbaijan;Europe;;54.4;52.4
0;0;Bahrain;Asia;;67.2;62.9
0;0;Belarus;Europe;;61.1;65.2
0;0;Belgium;Europe;;57.2;71.4
0;0;Brazil;America;;56.2;57.6
0;0;Cambodia;Asia;;23;17.4
0;0;Canada;America;;62.3;73
0;0;Japan;Other;;25.1;34
17;0;China;Asia;;31.8;35.8
0;0;Croatia;Europe;;59.1;70
0;0;Czechia;Europe;;60.3;73.3
0;0;Denmark;Europe;;51.6;67
0;0;Dominican Republic;America;;64;55.6
0;0;Ecuador;America;;58.3;51.4
0;0;Egypt;Africa;;68.1;55.6
0;0;Estonia;Europe;;58.4;62.8
0;0;Finland;Europe;;56.1;69.3
0;0;France;Europe;;56.5;70
0;0;Georgia;Europe;;57.7;56.6
0;0;Germany;Europe;;56.2;69.7
0;0;Greece;Europe;;62;72.4
0;0;Iceland;Europe;;53.3;69.6
0;0;India;Asia;;21.1;17.5
0;0;Indonesia;Asia;;31.2;25.3
0;0;Iran;Asia;;64.6;57.1
0;0;Iraq;Asia;;63.4;56.2
0;0;Ireland;Europe;;58.3;69
0;0;Israel;Asia;;59.5;71.4
0;0;Italy;Europe;;58.6;70.1
0;0;Japan;Asia;;25.1;34
0;0;Kuwait;Asia;;72.8;71.6
0;0;Lebanon;Asia;;66.9;66.8
0;0;Lithuania;Europe;;61.3;64.8
0;0;Luxembourg;Europe;;54;69.6
0;0;Malaysia;Asia;;42.1;41.3
0;0;Mexico;America;;65.7;62.3
0;0;Monaco;Europe;;0;0
0;0;Nepal;Asia;;21;18.1
0;0;Netherlands;Europe;;56.1;69.3
0;0;New Zealand;Oceania;;63.5;72.7
0;0;Nigeria;Africa;;32.6;19.7
0;0;North Macedonia;Europe;;54.6;67.4
0;0;Norway;Europe;;55.5;68
0;0;Oman;Asia;;60.8;54
